City_ID,City,Country,Max Temp,Current Descriptions,Lat,Lng,Hotel Name
138,Richards Bay,ZA,63.93,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
139,Rwamagana,RW,62.6,broken clouds,-1.9487,30.4347,Avega East Hostel
146,Flinders,AU,72.0,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
152,Batemans Bay,AU,69.01,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
156,Watsa,CD,63.79,light rain,3.0372,29.5355,Hôtel Le Pacifique
162,Nurota,UZ,60.8,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
165,Paraíso,CR,73.4,clear sky,9.8383,-83.8656,Rinconcito Verde
166,Grand Gaube,MU,75.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
169,Port Lincoln,AU,66.13,clear sky,-34.7333,135.8667,Port Lincoln Hotel
177,College,US,64.4,clear sky,64.8569,-147.8028,Pike's Waterfront Lodge
184,Qujing,CN,65.01,overcast clouds,25.4833,103.7833,Yulong Hotel
193,Saldanha,ZA,60.8,few clouds,-33.0117,17.9442,Blue Bay Lodge
197,Kruisfontein,ZA,64.02,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
199,Clarence Town,AU,71.01,scattered clouds,-32.5833,151.7833,River Downs Cottage
201,Podor,MR,73.65,scattered clouds,16.6527,-14.9587,Auberge Du Tékrour
202,Santa María del Río,MX,66.2,broken clouds,21.8,-100.75,Hotel Restaurante La Puesta del Sol
205,Camacha,PT,62.6,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
208,Coahuayana Viejo,MX,72.77,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
209,Tarauacá,BR,71.96,broken clouds,-8.1614,-70.7656,Flat Temporada
210,Baft,IR,62.02,broken clouds,29.234,56.6057,بافت خیابان طالقانی غربی ساختمان مادر
216,Ahipara,NZ,63.72,few clouds,-35.1667,173.1667,Ahipara Holiday Park
219,Beyneu,KZ,67.35,scattered clouds,45.3167,55.2,NUR
230,Kaeo,NZ,64.99,few clouds,-35.1,173.7833,Bushido Lodge
231,Sonoita,MX,71.92,overcast clouds,31.85,-112.8333,Hotel Nora
239,Nova Olímpia,BR,69.55,overcast clouds,-14.7972,-57.2881,Motel glamour
243,Trujillo,PE,68.11,scattered clouds,-8.116,-79.03,Casa Andina Standard Trujillo Plaza
248,Kashgar,CN,60.8,clear sky,39.4547,75.9797,帕米尔青年旅舍
249,Jasper,US,64.99,clear sky,37.2001,-94.3502,Guest House Motel
251,Vao,NC,74.32,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
255,Toamasina,MG,73.4,light rain,-18.1667,49.3833,Hotel H1
258,Dafeng,CN,66.02,light rain,23.4517,108.5881,Shenglong Hotel
259,Hasaki,JP,63.0,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
267,Seoul,KR,66.2,broken clouds,37.5683,126.9778,Lotte Hotel Seoul
268,Inhambane,MZ,68.02,clear sky,-23.865,35.3833,Oceano
